0 | 0-1 | 91073 | 44221927
2 | 6-12 | 18498 | 9428152
3 | 3-21 | 90274 | 45389636
1 | 4-7 | 79802 | 39218017
4 | 2-16 | 20820 | 10673588
5 | 44-51 | 54631 | 27765634
6 | 34-47 | 29714 | 14719067
7 | 5-32 | 61052 | 30852484
10 | 18-22 | 79401 | 39907873
9 | 13-17 | 16174 | 8104553
8 | 25-52 | 220 | 109701
11 | 11-43 | 58987 | 29700486
12 | 35-48 | 56658 | 28755390
13 | 30-58 | 72722 | 36232008
18 | 31-57 | 53688 | 27227814
17 | 26-27 | 75084 | 36773601
14 | 36-46 | 97345 | 48254193
16 | 10-15 | 67287 | 33319797
20 | 24-56 | 16699 | 8659894
19 | 19-53 | 811 | 394499
15 | 40-50 | 20239 | 10079275
21 | 39-54 | 98883 | 48687570
22 | 55-59 | 29781 | 14766143
23 | 14-29 | 69414 | 35134500
26 | 8-45 | 50244 | 24998551
25 | 9-42 | 24954 | 12404136
28 | 41-49 | 54066 | 27864374
24 | 37-38 | 48451 | 24160829
27 | 20-33 | 70126 | 34347937
29 | 23-28 | 42221 | 21137208
 Prueba finalizada 
